uid,label,date,points_std,covering_std,num_of_points,covering,entropy,turning_radius,place_dif,weekdays_weekends,ratio_day,ratio_night
60135495,0,32,5.308240702,4.173166973,23.875,9.5625,4.875817251,7.157042376000001,0.136,5.244565217,0.4263336155800169,0.4263336155800169
60135502,0,32,9.151061987,3.841491436,26.0,8.21875,4.8547786010000005,7.154306995,0.11800000000000001,10.56038647,0.36683417085427134,0.36683417085427134
60135514,0,32,4.381849477,2.140008667,16.34375,7.53125,4.940043995,7.138969369,0.0119,-2.256038647,0.35445544554455444,0.35306122448979593
60135517,1,32,2.636591152,3.169919099,11.375,6.875,4.822345542,7.151237486,0.2157,1.603864734,0.378830574145826,0.378830574145826
60135518,0,32,4.809998826,1.848059139,12.65625,6.0625,4.941036781,7.156120464,0.0179,-11.75362319,0.5,0.4972549019607843
60135527,0,32,4.9574805,2.651840505,19.5625,7.0,4.905504156,7.15453805,0.1544,17.28571429,0.5565789473684211,0.32483715661285756
60135532,1,32,5.85019644,1.5446969640000001,16.96875,4.46875,4.910037603999999,7.171804667999999,0.2825,14.46376812,0.6979445933869526,0.7552447552447552
60135535,0,21,3.598280012,2.3052734580000003,2.952380952,2.285714286,3.8758145839999996,7.1284445210000005,0.1695,-13.61111111,0.09248554913294797,0.09248554913294797
60135543,1,27,5.7877953920000005,3.640152778,7.962962963,3.592592593,4.185705981,7.1456841529999995,0.5507,3.4,0.37828309536400495,0.37828309536400495
60135547,1,32,4.798248168,1.313315799,14.59375,3.21875,4.884926319,7.14056484,0.3981,6.632850242000001,0.3810810810810811,0.3810810810810811
60135560,0,29,5.728461481,2.693725605,16.62068966,6.551724137999999,4.737329353,7.16224809,0.2421,11.49444444,0.5145907473309609,0.29343678453319766
60135591,1,32,3.252170491,2.8048057839999996,13.5625,8.0625,4.900021812,7.136852253,0.1117,5.299516908,0.5388235294117647,0.7345844504021448
60135597,0,32,4.994250727,3.013410885,9.65625,4.625,4.727190094,7.154230939,0.2093,-17.70048309,0.014492753623188406,0.014492753623188406
60135600,0,31,7.291768816,2.3431437390000003,19.64516129,5.903225806,4.856241425,7.137083924,0.1623,3.929292929,0.7506775067750677,0.38279711096520025
60135606,1,31,4.319249238,1.909230549,7.451612902999999,3.6129032260000002,4.745372285,7.135685071,0.0605,-5.22705314,0.3410384068278805,0.4060980172091283
60135616,0,32,4.178357256,2.675870374,17.34375,8.46875,4.932941097,7.160643103,0.1228,6.154589372,0.2901849217638691,0.2901849217638691
60135620,1,32,5.607364829,1.3163825059999998,17.90625,2.40625,4.82003212,7.136117978,0.5563,7.739130435,0.6651376146788991,0.6651376146788991
60135625,0,32,7.034190692999999,3.3864054589999997,29.4375,7.625,4.8601247380000006,7.1332048420000005,0.1287,20.57971014,0.4491362763915547,0.42901960784313725
60135630,0,29,7.7305293310000005,3.6846105189999996,23.24137931,8.827586207000001,4.713748035,7.143323705,0.0324,10.15873016,0.7802585193889542,0.36088709677419356
60135631,1,32,4.951274681,1.736700617,10.46875,4.125,4.858910368,7.147044922999999,0.0063,-8.657004831,0.4117647058823529,0.3755511022044088
60135632,0,31,7.9387439760000005,2.3800243969999997,20.09677419,3.741935484,4.689763544,7.1472504720000005,0.5092,-10.30808081,0.5301701908200103,0.5301701908200103
60135634,1,32,10.44875166,2.078839239,17.28125,3.46875,4.741061449,7.144312522999999,0.1432,-10.79227053,0.6390728476821192,0.6390728476821192
60135640,0,32,3.477896797,1.998991681,10.96875,6.0625,4.933597819,7.131407809,0.1646,-12.83574879,0.0,0.0
